Year,Cause,Total_Fire_Size
1992,Arson/incendiarism,267422.33000000747
1992,Debris and open burning,155551.7720000076
1992,Equipment and vehicle use,136491.69900000584
1992,Firearms and explosives use,0.1
1992,Fireworks,4092.4499999999944
1992,Missing data/not specified/undetermined,455085.0189999836
1992,Misuse of fire by a minor,50545.51299999886
1992,Natural,1007933.4499998622
1992,Other causes,1011.6700000000023
1992,Power generation/transmission/distribution,3365.3899999999985
1992,Railroad operations and maintenance,38066.63999999979
1992,Recreation and ceremony,27638.32999999929
1992,Smoking,52718.16799999922
1993,Arson/incendiarism,192829.40300000567
1993,Debris and open burning,111554.4130000032
1993,Equipment and vehicle use,123214.26000000429
1993,Firearms and explosives use,5.3
1993,Fireworks,7866.53000000002
1993,Missing data/not specified/undetermined,463868.3009999807
1993,Misuse of fire by a minor,13376.679000000215
1993,Natural,1113048.0500000368
1993,Other causes,222.05999999999966
1993,Power generation/transmission/distribution,34625.65999999994
1993,Railroad operations and maintenance,43177.14799999968
1993,Recreation and ceremony,30745.84899999841
1993,Smoking,57053.34999999902
1994,Arson/incendiarism,477384.60699998756
1994,Debris and open burning,185184.52000000994
1994,Equipment and vehicle use,136058.94000000553
1994,Fireworks,16243.890000000007
1994,Missing data/not specified/undetermined,666133.3449999674
1994,Misuse of fire by a minor,14082.844000000241
1994,Natural,2397151.240000242
1994,Other causes,35859.129999999954
1994,Power generation/transmission/distribution,17389.0199999999
1994,Railroad operations and maintenance,41323.46999999966
1994,Recreation and ceremony,69928.22999999954
1994,Smoking,58843.112999999146
1995,Arson/incendiarism,293903.8200000047
1995,Debris and open burning,192824.98100000972
1995,Equipment and vehicle use,117872.1890000041
1995,Firearms and explosives use,19.0
1995,Fireworks,3806.94
1995,Missing data/not specified/undetermined,417208.20699998824
1995,Misuse of fire by a minor,12739.35800000028
1995,Natural,834573.8099999751
1995,Other causes,1657.279999999998
1995,Power generation/transmission/distribution,28553.089999999895
1995,Railroad operations and maintenance,24297.59999999971
1995,Recreation and ceremony,70106.65299999874
1995,Smoking,51990.229999999225
1996,Arson/incendiarism,515666.4399999914
1996,Debris and open burning,297352.0200000059
1996,Equipment and vehicle use,526533.8199999823
1996,Firearms and explosives use,7.6
1996,Fireworks,48711.649999999965
1996,Missing data/not specified/undetermined,916104.0349999529
1996,Misuse of fire by a minor,17927.75400000015
1996,Natural,3324920.170000139
1996,Other causes,413.85
1996,Power generation/transmission/distribution,88918.31000000011
1996,Railroad operations and maintenance,65060.899999999245
1996,Recreation and ceremony,159742.69000000632
1996,Smoking,43474.01999999941
1997,Arson/incendiarism,190856.53000000515
1997,Debris and open burning,174159.99000000788
1997,Equipment and vehicle use,120169.00000000368
1997,Firearms and explosives use,823.3100000000001
1997,Fireworks,7409.2200000000175
1997,Missing data/not specified/undetermined,378058.0999999827
1997,Misuse of fire by a minor,6556.020000000122
1997,Natural,2218446.280000114
1997,Other causes,373.4800000000003
1997,Power generation/transmission/distribution,65121.91999999998
1997,Railroad operations and maintenance,28621.059999999758
1997,Recreation and ceremony,19848.220000000063
1997,Smoking,21125.879999999743
1998,Arson/incendiarism,306131.97001000814
1998,Debris and open burning,146999.50000000885
1998,Equipment and vehicle use,213737.22000000844
1998,Firearms and explosives use,86.8
1998,Fireworks,14151.440000000011
1998,Missing data/not specified/undetermined,359681.2600000091
1998,Misuse of fire by a minor,13140.460000000268
1998,Natural,848569.5199999696
1998,Other causes,480.67000000000024
1998,Power generation/transmission/distribution,8960.35000000003
1998,Railroad operations and maintenance,71288.77999999984
1998,Recreation and ceremony,16271.160000000184
1998,Smoking,16443.170000000213
1999,Arson/incendiarism,720759.2009999629
1999,Debris and open burning,374301.3799999597
1999,Equipment and vehicle use,378988.7190999711
1999,Firearms and explosives use,6428.81
1999,Fireworks,33065.85000000005
1999,Missing data/not specified/undetermined,588157.4631899592
1999,Misuse of fire by a minor,14226.342000000297
1999,Natural,3676823.9200001247
1999,Other causes,13809.210000000045
1999,Power generation/transmission/distribution,142738.97000000047
1999,Railroad operations and maintenance,104298.97000000192
1999,Recreation and ceremony,54681.12999999976
1999,Smoking,28667.449999999342
2000,Arson/incendiarism,682892.4109999667
2000,Debris and open burning,410541.14999997703
2000,Equipment and vehicle use,466283.2639999797
2000,Firearms and explosives use,8367.26
2000,Fireworks,14086.120000000059
2000,Missing data/not specified/undetermined,774314.5559998441
2000,Misuse of fire by a minor,24020.419999999656
2000,Natural,4940180.501999778
2000,Other causes,16532.329999999973
2000,Power generation/transmission/distribution,37496.16099999986
2000,Railroad operations and maintenance,162087.57000000315
2000,Recreation and ceremony,145967.68000000186
2000,Smoking,92919.24000000238
2001,Arson/incendiarism,498016.2599999716
2001,Debris and open burning,306961.70899999765
2001,Equipment and vehicle use,164681.3210000055
2001,Firearms and explosives use,9303.91
2001,Fireworks,28164.25999999997
2001,Missing data/not specified/undetermined,541689.2539999355
2001,Misuse of fire by a minor,14746.180000000339
2001,Natural,1974060.4700001576
2001,Other causes,3973.209999999998
2001,Power generation/transmission/distribution,61712.129999999845
2001,Railroad operations and maintenance,91201.01000000114
2001,Recreation and ceremony,77961.0400000007
2001,Smoking,63928.30999999861
2002,Arson/incendiarism,1021073.7726799676
2002,Debris and open burning,283220.9770000095
2002,Equipment and vehicle use,363180.291999994
2002,Firearms and explosives use,1951.5
2002,Fireworks,22056.64699999975
2002,Missing data/not specified/undetermined,676305.1249999031
2002,Misuse of fire by a minor,34609.164999999535
2002,Natural,4006539.1248592255
2002,Other causes,567.0300000000009
2002,Power generation/transmission/distribution,38175.849999999875
2002,Railroad operations and maintenance,24790.662999999877
2002,Recreation and ceremony,312924.8410000038
2002,Smoking,38749.41021999891
2003,Arson/incendiarism,453960.4741899854
2003,Debris and open burning,245954.4130000106
2003,Equipment and vehicle use,208671.59400001002
2003,Firearms and explosives use,6981.1
2003,Fireworks,17179.68999999998
2003,Missing data/not specified/undetermined,659495.0469999199
2003,Misuse of fire by a minor,10555.510000000138
2003,Natural,2460799.6351902355
2003,Other causes,1732.0999999999976
2003,Power generation/transmission/distribution,22641.539999999917
2003,Railroad operations and maintenance,5471.3373800000145
2003,Recreation and ceremony,407901.55499998445
2003,Smoking,9845.31000000013
2004,Arson/incendiarism,262438.02099000104
2004,Debris and open burning,201954.75098000898
2004,Equipment and vehicle use,154566.9600000028
2004,Firearms and explosives use,6097.3600000000015
2004,Fireworks,3894.14
2004,Missing data/not specified/undetermined,295534.30390000716
2004,Misuse of fire by a minor,28697.32808999948
2004,Natural,7183313.630178817
2004,Other causes,2718.8099999999945
2004,Power generation/transmission/distribution,26965.109999999884
2004,Railroad operations and maintenance,6706.080000000025
2004,Recreation and ceremony,62146.7999999991
2004,Smoking,13537.880000000181
2005,Arson/incendiarism,382467.94400998426
2005,Debris and open burning,333963.44799999695
2005,Equipment and vehicle use,251151.51699000737
2005,Firearms and explosives use,63035.56
2005,Fireworks,18652.709000000017
2005,Missing data/not specified/undetermined,741980.7439898606
2005,Misuse of fire by a minor,12204.515000000169
2005,Natural,7630618.435009085
2005,Other causes,14547.500000000018
2005,Power generation/transmission/distribution,77115.33000000063
2005,Railroad operations and maintenance,19490.141999999945
2005,Recreation and ceremony,133885.5770000029
2005,Smoking,31735.487999999103
2006,Arson/incendiarism,575815.8049699576
2006,Debris and open burning,550856.290999972
2006,Equipment and vehicle use,479052.855989987
2006,Firearms and explosives use,16737.500000000004
2006,Fireworks,6223.574999999966
2006,Missing data/not specified/undetermined,2337211.881000522
2006,Misuse of fire by a minor,49136.23899999967
2006,Natural,5665283.45200958
2006,Other causes,1142.8300000000015
2006,Power generation/transmission/distribution,99502.94999000063
2006,Railroad operations and maintenance,20654.49059999993
2006,Recreation and ceremony,202845.77700000643
2006,Smoking,78361.35500000228
2007,Arson/incendiarism,401038.8911799753
2007,Debris and open burning,284047.7269599991
2007,Equipment and vehicle use,591856.23399997
2007,Firearms and explosives use,69424.59000000005
2007,Fireworks,45309.91499999973
2007,Missing data/not specified/undetermined,1107619.3574999927
2007,Misuse of fire by a minor,54864.350989998755
2007,Natural,5976459.591029313
2007,Other causes,98559.0700000002
2007,Power generation/transmission/distribution,325253.2199999954
2007,Railroad operations and maintenance,13201.930000000026
2007,Recreation and ceremony,299504.7265100008
2007,Smoking,14571.764980000195
2008,Arson/incendiarism,299503.9208499867
2008,Debris and open burning,366067.1337299861
2008,Equipment and vehicle use,339479.6567999927
2008,Firearms and explosives use,2529.6100000000006
2008,Fireworks,3204.474999999995
2008,Missing data/not specified/undetermined,1849068.2803204514
2008,Misuse of fire by a minor,7603.609990000086
2008,Natural,2238397.8800001917
2008,Other causes,3030.6899999999955
2008,Power generation/transmission/distribution,73484.63510000068
2008,Railroad operations and maintenance,23283.91499999994
2008,Recreation and ceremony,198381.0000000095
2008,Smoking,23392.27999999931
2009,Arson/incendiarism,374155.7937199787
2009,Debris and open burning,329238.7004269925
2009,Equipment and vehicle use,171593.97500000318
2009,Firearms and explosives use,42768.69999999993
2009,Fireworks,9167.860000000015
2009,Missing data/not specified/undetermined,967441.1000099045
2009,Misuse of fire by a minor,24486.039999999375
2009,Natural,3940597.8116201493
2009,Other causes,1691.6199999999953
2009,Power generation/transmission/distribution,147431.77500000023
2009,Railroad operations and maintenance,17404.992937
2009,Recreation and ceremony,57576.45099999811
2009,Smoking,11424.867000000082
2010,Arson/incendiarism,194953.5060000051
2010,Debris and open burning,250390.6495000079
2010,Equipment and vehicle use,191188.1188900034
2010,Firearms and explosives use,13389.420000000018
2010,Fireworks,9029.260000000091
2010,Missing data/not specified/undetermined,592060.2110999319
2010,Misuse of fire by a minor,5947.440000000057
2010,Natural,2042039.9885001087
2010,Other causes,8922.550000000017
2010,Power generation/transmission/distribution,50338.999999999935
2010,Railroad operations and maintenance,16143.679200000028
2010,Recreation and ceremony,144986.82950000043
2010,Smoking,7060.188999999997
2011,Arson/incendiarism,361411.3099999846
2011,Debris and open burning,470842.8509999876
2011,Equipment and vehicle use,680207.6399999917
2011,Firearms and explosives use,32755.650000000027
2011,Fireworks,19064.570000000025
2011,Missing data/not specified/undetermined,2847412.0935003473
2011,Misuse of fire by a minor,11287.070000000132
2011,Natural,3797703.5900001056
2011,Other causes,3508.049999999998
2011,Power generation/transmission/distribution,630859.2179999972
2011,Railroad operations and maintenance,10863.46000000003
2011,Recreation and ceremony,747785.7199999868
2011,Smoking,60118.74000000008
2012,Arson/incendiarism,386524.1779999783
2012,Debris and open burning,228509.53100001247
2012,Equipment and vehicle use,475768.20499997865
2012,Firearms and explosives use,43118.95
2012,Fireworks,39149.690999999344
2012,Missing data/not specified/undetermined,885220.9979998587
2012,Misuse of fire by a minor,5489.115000000066
2012,Natural,6902213.305999323
2012,Other causes,20191.309999999827
2012,Power generation/transmission/distribution,190121.4500000006
2012,Railroad operations and maintenance,35148.08999999984
2012,Recreation and ceremony,172385.4310000093
2012,Smoking,64714.50699999944
2013,Arson/incendiarism,285971.4290000029
2013,Debris and open burning,131479.2209000001
2013,Equipment and vehicle use,60804.79769999858
2013,Firearms and explosives use,7203.399999999999
2013,Fireworks,7035.889999999978
2013,Missing data/not specified/undetermined,814881.5203098264
2013,Misuse of fire by a minor,3915.339999999964
2013,Natural,3017974.240000168
2013,Other causes,2505.0699999999874
2013,Power generation/transmission/distribution,117474.75700000148
2013,Railroad operations and maintenance,3473.299999999991
2013,Recreation and ceremony,37065.69999999843
2013,Smoking,4639.809999999976
2014,Arson/incendiarism,131629.16870000417
2014,Debris and open burning,280592.7430960098
2014,Equipment and vehicle use,142258.670000005
2014,Firearms and explosives use,18366.399999999994
2014,Fireworks,10076.26100000001
2014,Missing data/not specified/undetermined,857111.6426658053
2014,Misuse of fire by a minor,6810.965000000081
2014,Natural,2103955.251250089
2014,Other causes,24823.4899999999
2014,Power generation/transmission/distribution,41197.76099999964
2014,Railroad operations and maintenance,5684.134999999998
2014,Recreation and ceremony,45404.99499999907
2014,Smoking,9086.000000000198
2015,Arson/incendiarism,181884.81000000658
2015,Debris and open burning,241664.51000001366
2015,Equipment and vehicle use,520050.44299998775
2015,Firearms and explosives use,13103.8
2015,Fireworks,8943.750000000022
2015,Missing data/not specified/undetermined,817304.708799877
2015,Misuse of fire by a minor,6732.340000000079
2015,Natural,8212714.849999192
2015,Other causes,72339.06100000035
2015,Power generation/transmission/distribution,89663.4069999997
2015,Railroad operations and maintenance,3807.3099999999977
